label	rf_blosum	rf_aaindex	aaindex_max2	aaindex_max3	aaindex_max4	aaindex_max10	aaindex_max50
0	0.83	0.88	0.5497663014689526	0.5574182076618457	0.5377488090597133	0.6396299841867306	0.82
0	0.12	0.53	0.08911534215735972	0.08919799070966744	0.08825095787962217	0.2730531286374837	0.49
0	0.11	0.105	0.09117866067214768	0.08737644102366547	0.07917697835841991	0.06818071426870373	0.16
0	0.23	0.41	0.08911534215735972	0.08919799070966744	0.08839381543572804	0.2068770327222582	0.53
0	0.88	0.87	0.3437971655518603	0.3627855346529186	0.4777629728959323	0.8255591823725794	0.86
0	0.22	0.49333333333333335	0.09198382250614541	0.11053272785640654	0.12983948352136276	0.37015969360921924	0.5733333333333334
0	0.99	0.93	0.34168015808675156	0.35624292554741727	0.46436335293653125	0.9474344490451212	0.89
0	0.1	0.3	0.09198382250614541	0.11053272785640654	0.12983948352136276	0.35748780342700065	0.25
0	0.12	0.08	0.08911534215735972	0.08919799070966744	0.08080033601039563	0.06798692875926761	0.12
0	0.26	0.5433333333333333	0.08881244532720894	0.08737644102366547	0.08677045778375231	0.18338713063361337	0.48
0	0.25	0.2	0.10115989405430353	0.10037682819580489	0.09530859985021385	0.12679653350833062	0.24
0	0.25	0.19	0.10887681025483427	0.10820117047041389	0.10075725569885442	0.1892051387874178	0.3
0	0.23	0.25	0.09080592474311473	0.09076485204403728	0.09108224927266702	0.1198229085085811	0.31
0	0.13	0.20800000000000002	0.08774467353629209	0.08659921839963353	0.07755252783541093	0.07092851766639814	0.2175
0	0.08	0.04	0.10912363455875852	0.1073411904480859	0.09884730081941956	0.13878196764526435	0.07
0	0.3	0.5	0.3125406312431587	0.2751135597538604	0.25694333045224665	0.45271610255800193	0.4975
0	0.11	0.21	0.09080592474311473	0.08914336251281166	0.09108224927266702	0.11375921002253069	0.17
0	0.14	0.11	0.09080592474311473	0.09063246662903442	0.09210646812253025	0.12138621169974621	0.18
0	0.16	0.15	0.08944636626188386	0.08733983493214731	0.08667827804677243	0.09797601172643512	0.06
0	0.61	0.65	0.3955887622083731	0.4145836334203167	0.4581832991119925	0.5291879094660523	0.71
0	0.93	0.87	0.6247537188208399	0.6146143638673348	0.6823215844864543	0.8041288706467833	0.78
0	0.44333333333333336	0.5233333333333333	0.31380832878342424	0.2736437477922471	0.27077405167831253	0.5414227320470759	0.5641666666666666
1	0.15	0.24	0.09080592474311473	0.09146871443285107	0.09108224927266702	0.11916958139094808	0.26
0	0.73	0.8083333333333335	0.31101771604276074	0.273687787608084	0.2693135180454272	0.594130027032352	0.7583333333333333
0	0.17	0.31666666666666665	0.08774467353629209	0.08659921839963353	0.0765283089855477	0.06788250450992198	0.47
0	0.62	0.67	0.555622954593613	0.5634209762081391	0.5778236915677974	0.616872117778486	0.73
0	0.92	0.86	0.5504865123888993	0.552298891808059	0.5673441796114068	0.6076249677937985	0.91
0	0.23	0.41	0.08774467353629209	0.08659921839963353	0.0765283089855477	0.09054437069392528	0.392
0	0.79	0.83	0.3769612525083147	0.33836226634390676	0.36025036348199146	0.7826218297636548	0.81
